query,keyword,volume,cpc,value
iphone,16gb unlocked iphone 4,10,0.32,3.2
iphone,$37 iphone 6s clone,10,0.31,3.1
iphone,24ct gold iphone case,10,0.3,3.0
iphone,12 south iphone 6 case,20,0.15,3.0
iphone,$5 iphone cases,10,0.28,2.8
iphone,1600mah iphone battery,10,0.28,2.8
iphone,100 carbon fiber iphone 6 case,10,0.28,2.8
iphone,128gb iphone 6 plus unlocked,20,0.14,2.8
iphone,128 gigabyte iphone 6,10,0.27,2.7
iphone,10 foot iphone charger pink,10,0.27,2.7
iphone,2010 nissan murano iphone 5 adapter,10,0.27,2.7
iphone,1st generation iphone for sale,30,0.09,2.7
iphone,2 layer iphone 5 case,10,0.26,2.6
iphone,101 dalmatians iphone 5 case,10,0.26,2.6
iphone,2007 bmw iphone integration,10,0.25,2.5
iphone,2 piece iphone 4 case,10,0.25,2.5
iphone,16gb iphone 5s at&t,10,0.25,2.5
iphone,1 iphone 5,10,0.24,2.4
iphone,12 ft iphone cable,10,0.24,2.4
iphone,24k gold iphone 5 case,10,0.23,2.3
iphone,1st iphone for sale,10,0.22,2.2
iphone,10 foot long iphone 4 charger,10,0.22,2.2
iphone,10 foot iphone charger amazon,10,0.22,2.2
iphone,10 ft cable for iphone 4s,10,0.21,2.1
iphone,180 degree fisheye lens iphone,10,0.2,2.0
iphone,16gb 4s iphone,10,0.19,1.9
iphone,16gb iphone 4 unlocked,10,0.18,1.8
iphone,007 ringtone iphone,20,0.09,1.8
iphone,1mobile market download for iphone,30,0.06,1.8
iphone,24kt gold iphone,30,0.06,1.8
iphone,3 bff iphone cases,10,0.17,1.7
iphone,24k iphone 5,10,0.17,1.7
iphone,2200mah external battery power bank case for iphone 5,10,0.17,1.7
iphone,$100 iphone 4,10,0.17,1.7
iphone,10 gb iphone,10,0.16,1.6
iphone,$100 iphone 4s,10,0.16,1.6
iphone,1d cases for iphone 5,10,0.16,1.6
iphone,2g iphone for sale,10,0.16,1.6
iphone,2d barcode scanner app iphone,10,0.16,1.6
iphone,24ct gold iphone 5s,10,0.16,1.6
iphone,2012 nissan sentra iphone 5 cable,10,0.16,1.6
iphone,2g apple iphone,10,0.15,1.5
iphone,24k gold iphone 5,30,0.05,1.5
iphone,1st generation iphone cases,10,0.14,1.4
iphone,16gb apple iphone 6,10,0.14,1.4
iphone,$400 iphone,10,0.14,1.4
iphone,16 ft iphone charger,10,0.13,1.3
iphone,12 south surfacepad iphone 6 plus,10,0.13,1.3
iphone,12 south iphone 6 plus case,10,0.13,1.3
iphone,24k gold iphone 4 case,10,0.13,1.3
iphone,24c gold iphone,10,0.13,1.3
iphone,$50 iphone 4s,10,0.13,1.3
iphone,180 fisheye lens iphone,10,0.13,1.3
